epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00055,00002,00002
00056,00032,00032
00057,00071,00071
00058,00052,00052
00059,00042,00042
00060,00069,00069
00061,00077,00077
00062,00027,00027
00063,00031,00015
00064,00065,00065
00065,00062,00007
00066,00098,00035
00067,00043,00043
00068,00082,00082
00069,00063,00063
00070,00092,00092
00071,00066,00066
00072,00089,00090
00073,00061,00067
00074,00091,00091
00075,00049,00032
00076,00032,00032
00077,00082,00082
00078,00010,00010
00079,00077,00077
00080,00022,00022
00081,00071,00071
00082,00078,00078
00083,00054,00054
00084,00006,00006
00085,00029,00029
00086,00089,00089
00087,00078,00078
00088,00063,00033
00089,00035,00011
00090,00073,00067
00091,00022,00022
00092,00018,00018
00093,00027,00027
00094,00021,00021
00095,00013,00013
00096,00021,00021
00097,00065,00050
00098,00079,00075
00099,00037,00037
00100,00035,00035
00101,00026,00026
00102,00083,00083
00103,00096,00047
00104,00095,00095
00105,00043,00043
00106,00069,00069
00107,00076,00076
00108,00017,00017
00109,00057,00057
00110,00059,00059
00111,00025,00025
00112,00020,00020
00113,00027,00027
00114,00000,00000
00115,00009,00009
00116,00071,00071
00117,00008,00008
00118,00043,00043
00119,00057,00057
00120,00056,00056
00121,00085,00085
00122,00010,00010
00123,00019,00019
00124,00092,00092
00125,00033,00033
00126,00020,00020
00127,00021,00021
00128,00064,00050
00129,00070,00070
00130,00035,00046
00131,00035,00011
00132,00016,00016
00133,00001,00001
00134,00074,00074
00135,00080,00033
00136,00091,00091
00137,00060,00060
00138,00064,00064
00139,00052,00052
00140,00023,00023
00141,00004,00004
00142,00011,00011
00143,00052,00052
00144,00017,00037
00145,00024,00024
00146,00095,00095
00147,00058,00025
00148,00039,00039
00149,00051,00051
00150,00058,00058
00151,00058,00058
00152,00077,00077
00153,00018,00018
00154,00060,00059
00155,00045,00045
00156,00066,00066
00157,00058,00058
00158,00020,00020
00159,00079,00024
00160,00080,00004
00161,00036,00036
00162,00008,00008
00163,00087,00087
00164,00010,00010
00165,00030,00030
00166,00047,00047
00167,00054,00054
00168,00099,00099
00169,00051,00051
00170,00083,00083
00171,00009,00009
00172,00084,00037
00173,00004,00004
00174,00083,00083
00175,00095,00095
00176,00002,00083
00177,00063,00032
00178,00073,00073
00179,00018,00018
00180,00040,00040
00181,00039,00039
00182,00066,00064
00183,00022,00022
00184,00080,00080
00185,00016,00028
00186,00028,00028
00187,00025,00040
00188,00095,00095
00189,00098,00098
00190,00083,00083
00191,00012,00012
00192,00024,00024
00193,00032,00045
00194,00013,00013
00195,00094,00094
00196,00024,00024
00197,00058,00058
00198,00042,00063
00199,00007,00007
00200,00087,00087
00201,00006,00006
00202,00078,00078
00203,00068,00068
00204,00060,00060
00205,00006,00006
00206,00023,00023
00207,00044,00044
00208,00031,00031
00209,00080,00080
00210,00093,00093
00211,00069,00073
00212,00098,00098
00213,00049,00049
00214,00090,00090
00215,00097,00097
00216,00033,00059
00217,00002,00002
00218,00067,00067
00219,00016,00016
00220,00081,00081
00221,00094,00094
00222,00044,00027
00223,00076,00076
00224,00077,00077
00225,00076,00012
00226,00044,00018
00227,00000,00000
00228,00076,00076
00229,00079,00079
00230,00071,00071
00231,00089,00089
00232,00057,00057
00233,00059,00047
00234,00024,00024
00235,00065,00065
00236,00010,00000
00237,00032,00032
00238,00036,00036
00239,00082,00082
00240,00031,00031
00241,00023,00023
00242,00024,00024
00243,00034,00034
00244,00021,00021
00245,00011,00011
00246,00053,00053
00247,00080,00080
00248,00044,00044
00249,00004,00004
00250,00039,00039
00251,00091,00091
00252,00016,00016
00253,00036,00036
00254,00068,00068
00255,00050,00050
00256,00097,00097
00257,00058,00058
00258,00075,00031
00259,00006,00006
00260,00042,00042
00261,00080,00080
00262,00076,00076
00263,00089,00089
00264,00055,00055
00265,00019,00019
00266,00091,00091
00267,00070,00070
00268,00001,00001
00269,00006,00006
00270,00062,00062
00271,00099,00099
00272,00051,00051
00273,00096,00096
00274,00000,00083
00275,00042,00042
00276,00018,00018
00277,00067,00067
00278,00065,00066
00279,00040,00040
00280,00062,00062
00281,00078,00078
00282,00084,00084
00283,00028,00028
00284,00089,00089
00285,00030,00030
00286,00066,00066
00287,00018,00018
00288,00050,00038
00289,00042,00042
00290,00092,00092
00291,00067,00027
00292,00011,00011
00293,00086,00086
00294,00063,00044
00295,00096,00096
00296,00012,00012
00297,00016,00016
00298,00067,00067
00299,00034,00043
00300,00089,00089
00301,00096,00096
00302,00012,00012
00303,00040,00040
00304,00007,00007
00305,00039,00086
00306,00029,00077
00307,00076,00076
00308,00031,00031
00309,00018,00018
00310,00028,00028
00311,00019,00019
00312,00018,00018
00313,00041,00041
00314,00042,00042
00315,00043,00043
00316,00031,00031
00317,00093,00093
00318,00015,00015
00319,00061,00010
00320,00008,00008
00321,00037,00037
00322,00017,00089
00323,00032,00032
00324,00067,00067
00325,00012,00012
00326,00002,00002
00327,00019,00019
00328,00091,00091
00329,00094,00094
00330,00079,00007
00331,00071,00071
00332,00036,00036
00333,00061,00061
00334,00062,00062
00335,00005,00005
00336,00071,00060
00337,00067,00045
00338,00091,00091
00339,00034,00034
00340,00073,00095
00341,00009,00009
00342,00057,00040
00343,00068,00068
00344,00062,00062
00345,00099,00099
00346,00066,00066
00347,00046,00046
00348,00024,00007
00349,00010,00010
00350,00010,00010
00351,00068,00068
00352,00097,00034
00353,00037,00037
00354,00058,00058
00355,00048,00048
00356,00040,00040
00357,00096,00096
00358,00014,00014
00359,00011,00011
00360,00066,00066
00361,00064,00064
00362,00039,00039
00363,00060,00033
00364,00094,00094
00365,00063,00063
00366,00010,00010
00367,00089,00089
00368,00054,00092
00369,00090,00090
00370,00065,00065
00371,00090,00090
